=~=~= PuTTY log (SYNTHETIC sample, not measured) =~=~=
========================================
 OUTSIDE-PAIR PHOTOTRANSISTOR SWEEP TEST
========================================
Enter distance in cm, then press Enter (e.g. 40):
# SWEEP START dist=20.00 cm
# DATA,dist_cm,servo_deg,rel_deg,sl_v,l_v,r_v,sr_v
DATA,20.00,18,-60,0.1485,0.0329,0.0472,0.0697
DATA,20.00,19,-59,0.1725,0.0298,0.0651,0.0788
DATA,20.00,20,-58,0.1547,0.0316,0.0670,0.0646
DATA,20.00,21,-57,0.1961,0.0176,0.0692,0.0753
DATA,20.00,22,-56,0.2096,0.0295,0.0702,0.0835
DATA,20.00,23,-55,0.2160,0.0430,0.0851,0.1019
DATA,20.00,24,-54,0.2442,0.0311,0.0968,0.0991
DATA,20.00,25,-53,0.2733,0.0307,0.0973,0.1161
DATA,20.00,26,-52,0.3240,0.0246,0.1238,0.1042
DATA,20.00,27,-51,0.3443,0.0304,0.1307,0.1290
DATA,20.00,28,-50,0.3402,0.0326,0.1534,0.1376
DATA,20.00,29,-49,0.4062,0.0344,0.1759,0.1452
DATA,20.00,30,-48,0.4208,0.0283,0.1873,0.1769
DATA,20.00,31,-47,0.4498,0.0297,0.2159,0.1914
DATA,20.00,32,-46,0.4936,0.0482,0.2474,0.2073
DATA,20.00,33,-45,0.5262,0.0145,0.2589,0.2158
DATA,20.00,34,-44,0.5692,0.0510,0.3138,0.2567
DATA,20.00,35,-43,0.6269,0.0366,0.3598,0.2734
DATA,20.00,36,-42,0.6733,0.0429,0.3859,0.2930
DATA,20.00,37,-41,0.7229,0.0227,0.4168,0.3223
DATA,20.00,38,-40,0.7688,0.0327,0.4669,0.3489
DATA,20.00,39,-39,0.8080,0.0369,0.5024,0.3679
DATA,20.00,40,-38,0.8798,0.0446,0.5761,0.4127
DATA,20.00,41,-37,0.9458,0.0303,0.6219,0.4436
DATA,20.00,42,-36,0.9973,0.0503,0.6769,0.4801
DATA,20.00,43,-35,1.0644,0.0403,0.7224,0.5186
DATA,20.00,44,-34,1.1264,0.0546,0.7932,0.5660
DATA,20.00,45,-33,1.1843,0.0641,0.8496,0.5989
DATA,20.00,46,-32,1.2567,0.0671,0.9168,0.6698
DATA,20.00,47,-31,1.3170,0.0797,0.9814,0.7157
DATA,20.00,48,-30,1.4003,0.0867,1.0454,0.7633
DATA,20.00,49,-29,1.4548,0.0822,1.1145,0.8174
DATA,20.00,50,-28,1.5268,0.0996,1.1882,0.8677
DATA,20.00,51,-27,1.6005,0.1015,1.2439,0.9409
DATA,20.00,52,-26,1.6551,0.1117,1.3288,0.9924
DATA,20.00,53,-25,1.7614,0.1447,1.3878,1.0504
DATA,20.00,54,-24,1.8232,0.1542,1.4567,1.1314
DATA,20.00,55,-23,1.8844,0.1728,1.5128,1.1849
DATA,20.00,56,-22,1.9699,0.2018,1.5706,1.2496
DATA,20.00,57,-21,2.0121,0.2230,1.6066,1.3209
